,sub,baseMult,model,theta,phi,SSE,AIC,BIC,time
10,38,6,MP,0.01636913332293169,-0.0382919922218314,456.0,140.17371966133214,144.83518634190486,1135.090656042099
11,38,6,MP_ppSOE,0.3123469128297389,-0.08852983139061095,208.0,80.51716019553899,85.17862687611166,1100.5382661819458
0,39,4,GR,,,5989.0,331.109870828409,331.109870828409,0.0
1,39,4,GA,132.63130418986773,,1258.0,215.29742737002815,217.6281607103145,147.74774909019467
2,39,4,GA_ppSOE,111.6142312709858,,1237.0,214.01803844006798,216.34877178035427,126.72409009933472
3,39,4,IA,171.32003450208896,,240.0,89.39282431223019,91.7235576525165,190.22474694252014
4,39,4,MP,0.0964821799113758,0.003856636882279996,243.0,92.33693583212052,96.99840251269319,1197.214478969574
5,39,4,MP_ppSOE,0.1744224225432623,-0.02869566242302405,241.0,91.70883308352863,96.37029976410128,1114.9408509731293
6,39,6,GR,,,17431.0,412.9628722701223,412.9628722701223,0.0
7,39,6,GA,284.51277642502185,,1588.0,233.00179491557702,235.3325282558633,198.31351518630981
8,39,6,GA_ppSOE,280.2911113221692,,1946.0,248.45264210693108,250.78337544721745,155.55320692062378
9,39,6,IA,506.81086021044433,,170.0,63.18494735405872,65.51568069434506,320.51381587982183
10,39,6,MP,0.08074114698817192,0.031265744108724305,186.0,72.02101334044212,76.68248002101478,1228.6128270626068
11,39,6,MP_ppSOE,0.10456526571063178,0.08283273862246388,186.0,72.02101334044212,76.68248002101478,1150.5987029075625
0,40,4,GR,,,1130.0,200.56835705075963,200.56835705075963,0.0
1,40,4,GA,43.57322190087182,,932.0,192.5015600543438,194.8322933946301,151.80265188217163
2,40,4,GA_ppSOE,43.78708792373879,,932.0,192.5015600543438,194.8322933946301,135.37458109855652
3,40,4,IA,75.67275516418199,,366.0,121.46439947674268,123.795132817029,210.87996196746826
4,40,4,MP,0.4189632129441936,-0.09646789299773344,220.0,84.77995966101831,89.44142634159098,1217.740334033966
5,40,4,MP_ppSOE,0.4184696357983958,-0.09139506295586076,220.0,84.77995966101831,89.44142634159098,1146.7549748420715
6,40,6,GR,,,5261.0,321.79209434939173,321.79209434939173,0.0
7,40,6,GA,97.37724589081527,,666.0,166.96228109930843,169.29301443959474,225.67582201957703
8,40,6,GA_ppSOE,98.86886082364094,,666.0,166.96228109930843,169.29301443959474,196.0226981639862
9,40,6,IA,112.31335270678932,,295.0,105.07439322006516,107.40512656035149,405.98126101493835
10,40,6,MP,0.32941468627405923,-0.09976250029697407,508.0,148.38085615420349,153.04232283477614,1277.9765191078184
11,40,6,MP_ppSOE,0.3293033199072982,-0.09981325493591382,508.0,148.38085615420349,153.04232283477614,1184.9953742027285
0,41,4,GR,,,4803.0,314.8782392057565,314.8782392057565,0.0
1,41,4,GA,159.42706377064624,,731.0,174.039689079222,176.37042241950837,122.00287103652954
2,41,4,GA_ppSOE,79.38777317700318,,1051.0,201.63406632488707,203.96479966517344,128.52639985084534
3,41,4,IA,130.53675420644208,,222.0,83.46774716053207,85.7984805008184,219.46980214118958
4,41,4,MP,0.050771135132674616,-0.0008576940404562139,347.0,119.41294941420013,124.0744160947728,1160.3436918258667
5,41,4,MP_ppSOE,0.2432862364249365,-0.043685449265743116,247.0,93.57777972196513,98.23924640253776,1087.1441040039062
6,41,6,GR,,,9918.0,369.93261823462433,369.93261823462433,0.0
7,41,6,GA,291.97819056640213,,830.0,183.69261939832776,186.02335273861408,166.81707215309143
8,41,6,GA_ppSOE,127.87870112591536,,1685.0,237.50785019000995,239.83858353029632,191.5595109462738
9,41,6,IA,190.16114631596145,,255.0,94.00029557027922,96.33102891056556,456.01408505439764
10,41,6,MP,0.2233438717426568,0.04512150578904952,272.0,100.90522317673464,105.5666898573073,1237.8281230926516
11,41,6,MP_ppSOE,0.2009784722186849,0.007288778406003677,219.0,84.43371760429291,89.09518428486557,1154.7620980739596
0,42,4,GR,,,7341.0,346.89046255155546,346.89046255155546,0.0
1,42,4,GA,9731.198177244758,,615.0,160.90755849153422,163.23829183182056,105.51744198799132
2,42,4,GA_ppSOE,186.25526260027488,,704.0,171.17942120625008,173.51015454653646,128.86978006362915
3,42,4,IA,229.83880696647,,341.0,116.08733441178612,118.41806775207243,155.75095105171204
